text,text_clean,label
"""Slaughter High"" is a totally ridiculous slasher flick about a high school nerd Marty,who gets pick on all the time by some pranksters.The prank goes wrong and he ends up getting savagely burned.Five years later his tormentors all attend a reunion-just the ten of them of course,and low and behold Marty murders them one after another.British actress Caroline Munro(""Maniac"")leads the cast as the heroine(who dies anyway!).The acting is completely awful,there's also no suspense at all.Plenty of grotesque death scenes to satisfy the gore-freaks:a guy's stomach explodes,another female victim literally gets an acid bath,a couple having sex in bed get electrocuted,a guy is crushed by a tractor,one girl is drowned,and a doctor gets a hyperdermic needle in the eye.The killer wears a decent and rather creepy jester's mask and the setting(a beautiful old English castle)is really nice.However the dream finale is utterly pathetic.All in all it's true that ""Slaughter High"" is a piece of garbage,but I enjoyed it.Only for fans of truly bad slasher flicks.",slaughter high totally ridiculous slasher flick high school nerd marty get pick time prankster prank go wrong end getting savagely burned five year later tormentor attend reunion ten course low behold marty murder one another british actress caroline munro maniac lead cast heroine dy anyway acting completely awful also suspense plenty grotesque death scene satisfy gore freak guy stomach explodes another female victim literally get acid bath couple sex bed get electrocuted guy crushed tractor one girl drowned doctor get hyperdermic needle eye killer wear decent rather creepy jester mask setting beautiful old english castle really nice however dream finale utterly pathetic true slaughter high piece garbage enjoyed fan truly bad slasher flick,1
"Like other people who commented on ""Fräulein Doktor"" I stumbled by chance upon this little gem on late-night TV without having heard of it before. The strange mixture of a pulp fiction story about a sexy but unscrupulous anti-heroine on the one hand and a realistic and well-researched portrayal of war in the trenches on the other hand had me hooked from the beginning.<br /><br />To me this is one of the five best movies about WWI (the others are ""All Quiet On The Western Front"", ""Paths Of Glory"", ""Gallipoli"" and the post-war ""La vie et rien d'autre""). And the scene with the poison gas attack is really chilling; the horses and men appear like riders of the apocalypse with their gas masks.<br /><br />I only wish I had taped the film.",like people commented fr ulein doktor stumbled chance upon little gem late night tv without heard strange mixture pulp fiction story sexy unscrupulous anti heroine one hand realistic well researched portrayal war trench hand hooked beginning one five best movie wwi others quiet western front path glory gallipoli post war la vie et rien autre scene poison gas attack really chilling horse men appear like rider apocalypse gas mask wish taped film,1
"The movie is bad. Nothing special - just a ""kid"" movie with no serious thing in it. There is though one reason to watch this for: the animal talk. Some of them are so funny in what they say, you just can't stop laughing. So if you want to hear a dog in the dog pound saying ""I'm Keyser Soze"", or another animal saying ""You're a dead cat walking"", or many other funny one liners, see it. Cause there's no other good movie to watch it. Vote: 4 out of 10.",movie bad nothing special kid movie serious thing though one reason watch animal talk funny say stop laughing want hear dog dog pound saying keyser soze another animal saying dead cat walking many funny one liner see cause good movie watch vote,0
"It seems a lot of Europeans and Americans see Indian movies for the wrong reason; I see some people are complaining that this movie did not have any dance sequence! A class apart from their Hindi counterparts, Bengali movies tend to be more realistic. Rituparno Ghosh is one of the best young directors in India, being widely known for his choice of subjects for the movies and the strength of his scripts. 'Chokher bali' is a perfect example. A faithful adaptation of the Nobel laureate Tagore's novel dealing with the pursuit of sexual pleasure of a Bengali widow, the director gives a new dimension to the much acclaimed and controversial work.",seems lot european american see indian movie wrong reason see people complaining movie dance sequence class apart hindi counterpart bengali movie tend realistic rituparno ghosh one best young director india widely known choice subject movie strength script chokher bali perfect example faithful adaptation nobel laureate tagore novel dealing pursuit sexual pleasure bengali widow director give new dimension much acclaimed controversial work,1
"This film is quite boring. There are snippets of naked flesh tossed around in a lame attempt to keep the viewer awake but they don't succeed.<br /><br />The best thing about the movie is Lena Olin--she does a masterful job handling her character, but Day-Lewis garbles most of his lines.<br /><br />Kaufman clearly had no idea how to film this. The incongruities in bouncing between domestic household/marriage issues and political crises are badly matched. Character attitudes change without explanation throughout. Badly disjointed.",film quite boring snippet naked flesh tossed around lame attempt keep viewer awake succeed best thing movie lena olin masterful job handling character day lewis garbles line kaufman clearly idea film incongruity bouncing domestic household marriage issue political crisis badly matched character attitude change without explanation throughout badly disjointed,0
"magellan33 said: ""You can only do so much when the two stars of the show can only be seen by one fellow cast member.""<br /><br />I assume, then, that you never heard of ""Topper"".<br /><br />Which, in addition to the two stars who could only be seen by one member of the cast, had a dog, ditto.<br /><br />This was the kind of program that had ""Not Gonna Make It"" written allover it from the first episode - it was like an arcade video game where you actually have to read the instructions to play; no-one (well, very few of us, apparently) wants to watch a comedy program that has a basic premise that actually requires *thought* to grasp.",magellan said much two star show seen one fellow cast member assume never heard topper addition two star could seen one member cast dog ditto kind program gon na make written allover first episode like arcade video game actually read instruction play one well u apparently want watch comedy program basic premise actually requires thought grasp,1
"Everyone involved (and the audience) should seek out ""The Candidate"" to see how good this movie could have been. What happened the South American story? What were Julie Christie and Kate Capshaw thinking to allow their roles to be cardboard cut-outs. Up to now I have liked every Gene Hackman performance and/or movie. He was either disinterested (which I can hardly believe) or dreadfully miscast. I have also liked and defended Richard Gere (and been vilified for it). But here he had no ""power"". He was never intimidating and only occasionally persuasive. All in all I was very disappointed. I really expected much more from this director and cast. If you can't find ""The Candidate"" watch ""Wag the dog"" again or even ""Bulworth"".",everyone involved audience seek candidate see good movie could happened south american story julie christie kate capshaw thinking allow role cardboard cut out liked every gene hackman performance movie either disinterested hardly believe dreadfully miscast also liked defended richard gere vilified power never intimidating occasionally persuasive disappointed really expected much director cast find candidate watch wag dog even bulworth,0
"After buying the DVD in a Bargain Bin due to the impressive amount of features listed on the cover, I popped it in the DVD player and everything looked good. Nice animated menus and a whole lot of extra features...but when I played the movie itself, what a let down. It is the worst thing I have ever seen and I have seen some bad movies in my time. The comment that praises the movie here at IMDB is actually from the people who made the film. So Don't Believe It unless you like to waste your cash!",buying dvd bargain bin due impressive amount feature listed cover popped dvd player everything looked good nice animated menu whole lot extra feature played movie let worst thing ever seen seen bad movie time comment praise movie imdb actually people made film believe unless like waste cash,0
"One of the more lucid statements against the death penalty ever filmed, quite a frontal attack against the most disgusting way of doing justice. The final sequence, with that parallel between the crimes that the convicted Poncelet committed and his own execution are just superb.<br /><br />No, what about the work of Sean Penn and Susan Sarandon? It leaves you breathless, they're two giants and their performances achieve the highest levels of emotion.<br /><br />Tim Robbins put clear that he's not only a good actor, he's a nice director as well.<br /><br />*My rate: 9/10",one lucid statement death penalty ever filmed quite frontal attack disgusting way justice final sequence parallel crime convicted poncelet committed execution superb work sean penn susan sarandon leaf breathless two giant performance achieve highest level emotion tim robbins put clear good actor nice director well rate,1
"There are so many positive reviews on Return to Me that my opinion is not necessary to encourage you to watch this movie. However, I feel the need to express my admiration for this unique movie. Bonnie Hunt has proved that she is not only an exceptional actress but also a marvelous director and script writer. This movie has everything and is full of humanity, tenderness, sense of humor ... Don't miss it, don't wait any longer. And, regarding the poor reviews don't pay any attention. Some viewers forget that this type of movies have to be watched with your heart, not only with your eyes. If some viewers prefer Notting Hill or You've got Mail that's their mistake. For me, Return to Me is a true gem, an unforgettable movie.",many positive review return opinion necessary encourage watch movie however feel need express admiration unique movie bonnie hunt proved exceptional actress also marvelous director script writer movie everything full humanity tenderness sense humor miss wait longer regarding poor review pay attention viewer forget type movie watched heart eye viewer prefer notting hill got mail mistake return true gem unforgettable movie,1
